image_id,split,codec,is_lossy,quality,raw_bytes,compressed_bytes,compression_ratio,encode_time_ms,decode_time_ms,mse,psnr,ssim,dark_ssim,dark_psnr,banding_score
kodim04,train,jpeg,True,85.0,1179648,96716,12.197030480995906,2.4455409729853272,2.470583072863519,10.113108317057291,38.08195702065093,0.9472848032925416,0.9612819213461322,38.28756035883822,0.008034075286675832
kodim04,train,jpeg,True,95.0,1179648,185190,6.369933581726875,2.8156250482425094,3.22079099714756,3.6177164713541665,42.54645833654067,0.9768317494112418,0.9835195145188368,42.628252763905465,0.003437990198070499
kodim04,train,webp_lossy,True,50.0,1179648,25008,47.170825335892516,34.22679100185633,4.159333999268711,28.918839348687065,33.5189950221,0.8788436896094943,0.8923481801924406,32.53845419774428,0.09072015854736334
kodim04,train,webp_lossy,True,75.0,1179648,36742,32.10625442273148,37.64916700311005,4.878584062680602,19.518678453233505,35.22629951220519,0.911116079263479,0.924792586700484,34.479309033259405,0.07930638030556247
kodim04,train,webp_lossy,True,85.0,1179648,61390,19.21563772601401,43.718333006836474,6.635291967540979,10.487801445855034,37.9239590413342,0.9472980825273827,0.95546822777132,37.18764869421599,0.055457007447528774
kodim04,train,webp_lossy,True,95.0,1179648,131630,8.961847603129986,55.22579199168831,11.130624916404486,3.99900139702691,42.11128805016216,0.9790604876681229,0.9842956803669333,41.8672408542697,0.015380669568074892
kodim01,train,png,False,,1179648,753927,1.5646713806509118,37.24587499164045,11.47129200398922,0.0,inf,1.0,1.0,100.0,0.03287873982450576
kodim01,train,webp_lossless,False,100.0,1179648,502444,2.3478198565412263,1814.8260000161827,12.263874989002943,0.0,inf,1.0,1.0,100.0,0.03287873982450576
kodim01,train,jpeg,True,50.0,1179648,68446,17.23472518481723,2.4016249226406217,2.303166897036135,64.27306365966797,30.05051359249451,0.8869248113870554,0.9301834620048278,31.560398666762307,0.15225436746388635
kodim01,train,jpeg,True,75.0,1179648,102510,11.507638279192275,2.48504092451185,2.4503329768776894,35.160801357693146,32.67021596250642,0.9332852585274484,0.9591540974145297,34.18560684434249,0.04468443087999374
kodim01,train,jpeg,True,85.0,1179648,139387,8.463113489780252,2.6133329374715686,2.7932500233873725,19.844847785101997,35.15432588758202,0.9592234972398845,0.9732235022595598,36.49505106070612,0.015316659017898119
kodim01,train,jpeg,True,95.0,1179648,248187,4.7530611998211025,3.14691592939198,3.714584046974778,4.443239000108507,41.653806864664126,0.9883367708212135,0.9912701183050575,42.07346898936979,0.005115974219859447
kodim01,train,webp_lossy,True,50.0,1179648,57012,20.69122290044201,42.00541600584984,6.45041698589921,43.028042263454864,31.79328774337312,0.919353650413104,0.9491930023222249,32.948170981504205,0.09546452084857351
kodim01,train,webp_lossy,True,75.0,1179648,77422,15.236599416186614,46.14287510048598,8.013416081666946,25.00860850016276,34.14990832972394,0.951252455520209,0.9671124245490196,35.06044341519543,0.10959123270138389
kodim01,train,webp_lossy,True,85.0,1179648,112524,10.483523514983471,51.66829202789813,10.232375003397465,11.215166727701822,37.63274626561706,0.9768035970559573,0.9829588042972258,38.19154851163476,0.09854454597871858
kodim01,train,webp_lossy,True,95.0,1179648,184600,6.390292524377031,62.416624976322055,15.486833057366312,3.7588975694444446,42.38019869586437,0.9912628890423348,0.9932517303829843,42.54271686180299,0.031650285633183124
kodim21,train,png,False,,1179648,533643,2.210556495634722,18.175250035710633,5.59791608247906,0.0,inf,1.0,1.0,100.0,0.477018994479437
